SAM model,Box threshold,Text threshold,Image,Text Prompt,Output Image,flag,username,timestamp
vit_h,0.25,0.25,C:\Users\tihen\Desktop\hackathons\theraccoons\lang-segment-anything\flagged\Image\2c0976c80095a6d42f5f65aa47c6c2cd0aeb03fb\tmp91mkgzrc.png,trees,C:\Users\tihen\Desktop\hackathons\theraccoons\lang-segment-anything\flagged\Output Image\e3b892c983da1acbb4d0b73c04df62789c7fbae5\tmpopuh6y9b.png,,,2023-10-21 15:56:11.582886
vit_h,0.24,0.25,C:\Users\tihen\Desktop\hackathons\theraccoons\lang-segment-anything\flagged\Image\5cc5ba1799656c8513c683e41ed66ca32f4ae77f\tmput5zekn6.png,trees,C:\Users\tihen\Desktop\hackathons\theraccoons\lang-segment-anything\flagged\Output Image\b680697cdd602937a88ddbbe574aedd61a4a22c9\tmpfxhgrjsf.png,,,2023-10-21 15:58:36.879259
